URL in paper,Date file was last used,Filename,SSRN link
http://www.whitehouse.gov/omb/,Tue Jun 19 02:06:00 2012,j_1099-1123_2012_00448_x_wml.pdf,Unknown
http://www.fasab.gov/fasabmembers.html.,Wed Mar 14 02:00:00 2012,j_1467-6281_2012_00355_x_wml.pdf,Unknown
http://www.aasb.gov.au.,Wed Mar 14 02:01:00 2012,j_1467-6281_2012_00357_x_wml.pdf,Unknown
http://www.isr.gov.au/industry/summit/Framework/body_background_,Wed Mar 14 02:01:00 2012,j_1467-6281_2012_00359_x_wml.pdf,Unknown
http://www.gao.gov/new.items/d071156.pdf.,Sat Jun  2 02:03:00 2012,j_1467-6281_2012_00360_x_wml.pdf,Unknown
http://www.gao.gov/new.items/d08223.pdf.,Sat Jun  2 02:03:00 2012,j_1467-6281_2012_00360_x_wml.pdf,Unknown
http://www.sec.gov/rules/ﬁnal/33-8183.htm.,Sat Jun  2 02:04:00 2012,j_1467-6281_2012_00363_x_wml.pdf,Unknown
http://www.arc.gov.au/pdf/ERA_ConsultationPaper.,Thu Nov  3 02:21:00 2011,j_1467-629X_2010_00378_x_wml.pdf,Unknown
http://www.tec.govt.nz/Documents/Publications/pbrf-,Thu Nov  3 02:21:00 2011,j_1467-629X_2010_00378_x_wml.pdf,Unknown
http://www.frc.gov.au.,Fri Apr 20 02:00:00 2012,j_1467-629X_2010_00392_x_wml.pdf,Unknown
http://www.taxboard.gov.au/content/content.aspx?doc=,Sat Oct  6 02:05:00 2012,j_1467-629X_2011_00445_x_wml.pdf,Unknown
http://www.taxboard.gov.au/content/content.,Sat Oct  6 02:05:00 2012,j_1467-629X_2011_00445_x_wml.pdf,Unknown
http://www.taxboard.gov.au/content/content.aspx?doc=reviews_and_,Sat Oct  6 02:05:00 2012,j_1467-629X_2011_00445_x_wml.pdf,Unknown
http://energycommerce.house.gov/107/news/,Sat Oct  6 02:05:00 2012,j_1467-629X_2012_00499_x_wml.pdf,Unknown
http://energycommerce.house.gov/107/news/04022002_527.htm,Sat Oct  6 02:05:00 2012,j_1467-629X_2012_00499_x_wml.pdf,Unknown
http://www.educationcounts.govt.nz/statistics/tertiary_education/ﬁnancial_perfor-,Fri Dec 14 02:10:00 2012,j_1467-629X_2012_00507_x_wml.pdf,Unknown
http://www.sec.gov/interps/account/sab99.htm).,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00522_x_wml.pdf,Unknown
http://www.hm-treasury.gov.uk/media/B/E/pfi_signeddeals_231007.xls,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00523_x_wml.pdf,Unknown
http://www.statistics.gov.uk/about/methodology_by_theme/public_sector_accounts/,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00523_x_wml.pdf,Unknown
http://webarchive.nationalarchives.gov.uk/20100407010852/http:/www.hm-,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00523_x_wml.pdf,Unknown
http://www.hm-treasury.gov.uk/d/consolidatedbudgeting_guidance200910.pdf),Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00523_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/Files/Information/Asset%20Management%20Planning%20for%,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/Scripts/dtSearch/,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/dlg/dlghome/documents/Standards/Update_14_General_Purpose,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/Files/,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/Scripts/dtSearch/,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/dlg/dlghome/documents/Standards/Update_16_General_Purpose,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.dlg.nsw.gov.au/Scripts/dtSearch/,Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
"http://www.dlg.nsw.gov.au/dlg/dlghome/PublicTopicsIndex.asp?mi=0&ml=10&id=8#9,",Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
"http://www.dlg.nsw.gov.au/Files/Standards/LGAAG%20Minutes%20120406.pdf,",Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
"http://www.dlg.nsw.gov.au/,",Fri Apr  6 02:10:00 2012,j_1468-0408_2011_00524_x_wml.pdf,Unknown
http://www.australia.gov.au/access,Fri Apr  6 02:11:00 2012,j_1468-0408_2011_00527_x_wml.pdf,Unknown
http://www.finance.gov.au).,Fri Apr  6 02:11:00 2012,j_1468-0408_2011_00527_x_wml.pdf,Unknown
http://www.finance.gov.au).,Fri Apr  6 02:11:00 2012,j_1468-0408_2011_00527_x_wml.pdf,Unknown
http://www.dpmc.gov.au).,Fri Apr  6 02:11:00 2012,j_1468-0408_2011_00527_x_wml.pdf,Unknown
http://www.direct.gov.uk/prod_consum_dg/groups/dg_digitalassets/@dg/@en/documents/,Sat Apr  7 02:02:00 2012,j_1468-0408_2012_00542_x_wml.pdf,Unknown
http://www.idea.gov.uk/),Sat Apr  7 02:02:00 2012,j_1468-0408_2012_00542_x_wml.pdf,Unknown
